POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;x;y
76.04_24.72;0.002083561246910527;0.04075031072104518;55.232433333333326;-8.076262530981172e+30;0.001093360282662272;0.026746800810630307;35.937266666666666;-3.707003359297345e+30;76.04;24.72
75.24_24.72;0.0014997739932899566;0.03094935177591351;67.67450000000001;-1.00201375571142e+32;0.0013241380280570654;0.029389064535361876;65.6274;-8.366880155478509e+31;75.24;24.72
74.44_24.72;0.0014425197862747237;0.03119503307626493;12.304266666666669;-6.249279847355545e+31;0.0019196266990695774;0.036242150670418895;31.89776666666667;-1.1276015728556517e+32;74.44;24.72
77.64_26.72;0.0019167755265005275;0.03924813958056835;56.93823333333333;-8.169280103473471e+30;0.0008798769363098452;0.024480457670483766;34.9756;-3.612885357425224e+30;77.64;26.72
76.84_26.72;0.001554914400095665;0.03478010781194408;47.893166666666666;-5.0339151678864587e+30;0.0006913798375770847;0.0213280406120984;30.050200000000004;-2.5445757020022036e+30;76.84;26.72
76.04_26.72;0.0010113142948148482;0.025798753192721766;601.5394666666667;-1.1665013808869577e+31;0.0012185385362293718;0.028615297800986962;475.8987333333333;-1.9069218475658145e+31;76.04;26.72
75.24_26.72;0.0014573389082001482;0.03090331394101091;10.945900000000002;-5.629399884321157e+31;0.0016341279165857112;0.033081633120188;32.56963333333333;-1.2849736471688156e+32;75.24;26.72
77.64_28.72;0.001788330238473055;0.03687994667988131;58.7678;-8.331252496601008e+30;0.0011358496154489743;0.02751888045954057;43.97936666666667;-5.299223596607964e+30;77.64;28.72
76.84_28.72;0.0012987438177606296;0.03110830145736955;72.68776666666666;-6.469869941174982e+30;0.0012191318997016166;0.028587160925365618;64.19843333333334;-6.357383905065775e+30;76.84;28.72
76.04_28.72;0.0014006159166366735;0.03033359523098833;376.15883333333335;-2.0075554809049781e+31;0.0016861277447533594;0.03383041519883886;331.10996666666676;-4.214469233886007e+31;76.04;28.72
76.84_30.72;0.0024418700890613174;0.03838300457407701;56.02939999999999;-9.658707518371336e+31;0.003324455073146031;0.0454028833634763;78.3413;-1.3907518314727252e+32;76.84;30.72
76.84_32.72;0.0025409825253939126;0.03996840496871078;43.67103333333333;-1.4935209616896304e+32;0.0033083990516969575;0.046827101206325016;69.33356666666666;-2.4034638000538408e+32;76.84;32.72
