POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF
75.64_13.72;0.000339614902098933;0.01569184550779234;37.614;-0.17230646166671204;0.00016466387006301152;0.010653931450730519;42.121;0.4316017416053112;-0.00017495103203592148;-0.00503791405706182;4.507000000000005;0.25929527993859913
75.44_13.72;0.000339614902098933;0.01569184550779234;37.614;-0.17230646166671204;0.0001692441525003077;0.010765822654209709;44.347;0.41579120247903734;-0.00017037074959862532;-0.00492602285358263;6.733000000000004;0.2434847408123253
75.24_13.72;0.00019187301914531802;0.011743797366388512;-1.555;0.23353070797734843;0.00015554302571286027;0.010145225382407468;-44.906;0.3786570236490375;-3.6329993432457754e-05;-0.0015985719839810442;43.351;0.1451263156716891
75.04_13.72;0.00015677376559098457;0.010255935061500018;20.152;0.317252806844026;0.0001325683317774118;0.00909596993462842;20.23;0.4226670764639544;-2.4205433813572754e-05;-0.0011599651268715972;0.0779999999999994;0.10541426961992839
74.84_13.72;0.00015433389788169493;0.009947010573655251;31.132;0.2798347596677401;0.00012743215108952386;0.009029872374501586;43.654;0.4053658530299543;-2.6901746792171063e-05;-0.0009171381991536654;12.522000000000002;0.12553109336221424
76.64_14.72;0.0015685304088293092;0.034736410360413354;128.929;-2.4130339317631124;0.00039178425658922356;0.016119199841817335;80.13;0.14749949752799485;-0.0011767461522400858;-0.01861721051859602;-48.79900000000001;-2.265534434235118
76.44_14.72;0.0005627955391510492;0.01896029807448989;1813.316;-0.1653462589754291;0.00033480023785314105;0.015196236753023302;4231.432;0.3067496496600217;-0.0002279953012979081;-0.0037640613214665886;2418.116;0.14140339068459262
76.24_14.72;0.0004442742696153603;0.017325842452735284;28.699;0.09820063120930755;0.0003302831407918526;0.015523113544865002;27.715;0.3295827639395612;-0.00011399112882350772;-0.0018027289078702824;-0.9840000000000018;0.23138213273025365
76.04_14.72;0.0005228174683169033;0.018870963202842626;47.211;0.02224857608565134;0.00038352912058782924;0.01717831160942401;79.264;0.28273983466048647;-0.0001392883477290741;-0.0016926515934186162;32.053;0.2604912585748351
75.84_14.72;0.0005346692929048162;0.01920188282459596;-904.202;-0.1073985706576912;0.0003510303798005772;0.016415205171122615;-7824.175;0.2729514374452976;-0.00018363891310423894;-0.002786677653473346;6919.973;0.1655528667876064
75.64_14.72;0.0004963184013908925;0.018652463546879206;228.844;-0.17459242474662395;0.0003146588011728956;0.015661964469969644;1601.125;0.25532512354614567;-0.00018165960021799686;-0.0029904990769095627;1372.281;0.08073269879952172
75.44_14.72;0.0004336365430840865;0.017517558260675452;50.622;-0.1559082885231715;0.0002780698838562737;0.014701307168738858;111.839;0.25877260884856934;-0.0001555666592278128;-0.0028162510919365943;61.217;0.10286432032539783
75.24_14.72;0.0002495554846499326;0.013604543059072627;5.853;0.11271286338330166;0.00018701597024216006;0.011391946622272765;-54.151;0.3350702551357263;-6.253951440777253e-05;-0.0022125964367998626;48.298;0.22235739175242464
75.04_14.72;0.0002495554846499326;0.013604543059072627;5.853;0.11271286338330166;0.00019108165288362838;0.011368720545295962;-55.07;0.3206148408842583;-5.847383176630421e-05;-0.0022358225137766655;49.217;0.20790197750095663
74.84_14.72;0.0001529466407676888;0.010293172624183092;40.278;0.27403942228899936;0.0003107984113502405;0.014332890675266491;94.338;-0.4752033331558294;0.00015785177058255168;0.004039718051083399;54.059999999999995;0.20116391086683005
74.64_14.72;0.0001529466407676888;0.010293172624183092;40.278;0.27403942228899936;0.00014813340409720885;0.00965314389940634;62.649;0.29688542960516395;-4.813236670479949e-06;-0.0006400287247767516;22.371000000000002;0.022846007316164596
76.24_15.72;0.0006976502065462264;0.02093956720540589;20.495;-0.24645569703553294;0.0003083285077669775;0.014055516214746478;-119.935;0.4491253332136027;-0.00038932169877924886;-0.006884050990659411;99.44;0.20266963617806977
76.04_15.72;0.00047081768875466897;0.017900676823159926;9.868;0.2247488627568054;0.0002731005488698881;0.012748124423972381;-24.112;0.5503110521332939;-0.00019771713988478087;-0.005152552399187545;14.243999999999998;0.3255621893764885
75.84_15.72;0.0005373290990773902;0.019251105876547277;22.027;0.07550921607058836;0.0003233109996844667;0.015456371326779772;-23.688;0.4437337563431589;-0.00021401809939292348;-0.003794734549767505;1.6609999999999978;0.36822454027257057
75.64_15.72;0.0007076706976059827;0.021782263627791697;31.663;-0.23733535272514583;0.0003926718375162175;0.016535902011515925;-12.435;0.3134281972928582;-0.00031499886008976523;-0.0052463616162757715;-19.228;0.07609284456771237
75.44_15.72;0.0006941641623437012;0.021639495592686134;48.324;-0.21185220468987986;0.0002718481271179009;0.012976167873279616;45.657;0.5254152114733812;-0.00042231603522580036;-0.008663327719406519;-2.6670000000000016;0.31356300678350135
75.24_15.72;0.0005445997453974122;0.01914451973781945;42.768;-0.009252005440418598;0.0002475969326069026;0.012675583108822209;42.667;0.5411534748477316;-0.0002970028127905096;-0.006468936628997241;-0.10099999999999909;0.531901469407313
75.04_15.72;0.00033423262418886586;0.015186473097226505;-79.168;0.12373461214093895;0.00020070081904411205;0.011533042655545703;-344.632;0.47381802877524526;-0.0001335318051447538;-0.0036534304416808022;265.464;0.3500834166343063
74.84_15.72;0.00027581145798502365;0.01384205955228213;714.281;0.20463769959977074;0.00023586283211569323;0.012188057852686559;2658.638;0.3198382471092365;-3.994862586933042e-05;-0.0016540016995955711;1944.357;0.11520054750946573
74.64_15.72;0.0002125814706500231;0.01235817835478522;18.836;0.3004387575059443;0.0002204714728262334;0.011633797004702575;-6.029;0.2744744074203367;7.89000217621031e-06;-0.0007243813500826448;-12.806999999999999;-0.0259643500856076
74.44_15.72;0.00025472851918175685;0.013581260134902568;34.428;0.21054258345871135;0.00020227996746876377;0.011968342932326159;56.867;0.37309170936607505;-5.244855171299308e-05;-0.001612917202576409;22.439;0.1625491259073637
76.24_16.72;0.001173546179683507;0.028811960014106408;66.205;-1.2539505876226378;0.0002690423315010639;0.013088908934629162;122.192;0.4832686334118276;-0.000904503848182443;-0.015723051079477246;55.986999999999995;-0.7706819542108102
76.04_16.72;0.0007241847657041957;0.021343294719397617;31.235;-0.18750829033524807;0.00028370621377541474;0.013008522914632652;1.62;0.5347824245511088;-0.00044047855192878095;-0.008334771804764964;-29.615;0.34727413421586073
