POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF;x;y
76.84_19.72;0.003043164687227607;0.050264223029897595;176.091;-3.5963052390906896;0.0005398110280381361;0.01897995298522781;122.02;0.18468551284650037;-0.002503353659189471;-0.031284270044669785;-54.07100000000001;-3.411619726244189;76.84;19.72
76.64_19.72;0.0019667610437449335;0.03837997902425089;75.159;-1.722336000678593;0.0005339568087891234;0.01873634551721091;23.676;0.26091181844529;-0.0014328042349558102;-0.019643633507039977;-51.483000000000004;-1.4614241822333032;76.64;19.72
76.44_19.72;0.0011354148174864023;0.026671595156462884;56.203;-0.3191100549053647;0.0005031801990307755;0.01693644704754717;23.798;0.4154118391371727;-0.0006322346184556268;-0.009735148108915712;-32.405;0.09630178423180802;76.44;19.72
76.24_19.72;0.0011354148174864023;0.026671595156462884;56.203;-0.3191100549053647;0.0006228813847699664;0.019947934833211188;35.831;0.2763445702757178;-0.000512533432716436;-0.006723660323251696;-20.372;-0.04276548462964691;76.24;19.72
76.04_19.72;0.001689584119169833;0.03372913042726808;72.919;-0.571482396307464;0.000811354696590665;0.02289613721919935;37.453;0.2453588972651497;-0.000878229422579168;-0.010832993208068728;-35.465999999999994;-0.3261234990423143;76.04;19.72
75.84_19.72;0.0020491788530490824;0.0373188272598766;73.734;-0.6670670752249599;0.0014250485149688598;0.031909452865445574;40.237;-0.15931874680824043;-0.0006241303380802225;-0.005409374394431024;-33.49699999999999;-0.5077483284167195;75.84;19.72
75.64_19.72;0.002835117144535015;0.044543747705513885;74.419;-0.8785634980028689;0.0020554110403409346;0.0382138234837464;49.932;-0.36192614164797;-0.0007797061041940802;-0.006329924221767487;-24.486999999999995;-0.5166373563548989;75.64;19.72
75.44_19.72;0.003061067283546473;0.04671880645021746;693.766;-1.0360812067600156;0.0022394383663531608;0.03955194470936139;2161.617;-0.4895714301798346;-0.0008216289171933122;-0.0071668617408560745;1467.851;-0.546509776580181;75.44;19.72
75.24_19.72;0.003061067283546473;0.04671880645021746;693.766;-1.0360812067600156;0.002231500514997411;0.03927353897020941;2166.554;-0.48429153644657075;-0.000829566768549062;-0.007445267480008053;1472.788;-0.5517896703134448;75.24;19.72
75.04_19.72;0.003196814047267401;0.04771936852562672;-176.924;-1.0765607276672635;0.002228407207715356;0.038971471676190195;-665.192;-0.44751081056711484;-0.0009684068395520449;-0.008747896849436526;488.26800000000003;-0.6290499171001487;75.04;19.72
74.84_19.72;0.0031425550061273165;0.04726669901067767;145.22;-1.0706583704408015;0.0018879821267596276;0.03506776264319593;111.141;-0.2440087719689914;-0.001254572879367689;-0.01219893636748174;-34.07899999999999;-0.8266495984718101;74.84;19.72
74.64_19.72;0.0031043461762669854;0.047302650841029296;72.01;-1.0803442023746497;0.001664663484136289;0.032795410878630214;47.387;-0.11555633021962186;-0.0014396826921306964;-0.014507239962399082;-24.623000000000005;-0.9647878721550278;74.64;19.72
