POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF
75.24_16.72;0.0006961512458006133;0.020590500778512495;79.10262857142857;-2.5978681549613898e+31;0.00037760446043580474;0.016029705054305607;52.84099047619048;-1.270119121755322e+31;-0.0003185467853648085;-0.004560795724206888;-26.26163809523809;-1.3277490332060678e+31
74.44_16.72;0.0005320432333077408;0.01859674313663429;237.23419047619043;-1.3817387684607757e+31;0.0003007626218841089;0.014448546131884255;215.20441904761904;-9.913205139052414e+30;-0.00023128061142363188;-0.004148197004750035;-22.029771428571394;-3.9041825455553433e+30
76.84_18.72;0.0013262489429689724;0.02935664090058494;100.26069523809525;-2.850183725783602e+31;0.00037367429421951214;0.015650488812657563;53.95664761904762;-8.99450689858045e+30;-0.0009525746487494603;-0.013706152087927376;-46.30404761904763;-1.950733035925557e+31
76.04_18.72;0.0007411091768920427;0.02100854555171666;45.855000000000004;-1.6711906022950712e+31;0.00030876256085157934;0.014056860568114248;26.125523809523813;-7.434046885727815e+30;-0.00043234661604046334;-0.006951684983602411;-19.72947619047619;-9.277859137222897e+30
75.24_18.72;0.0013815461621279332;0.02946180737205108;196.8482857142857;-3.1470904977825125e+31;0.0007106640082155185;0.021612533019145348;179.3987619047619;-3.2292309354350214e+31;-0.0006708821539124147;-0.007849274352905732;-17.44952380952381;8.214043765250888e+29
76.84_20.72;0.001785928382090396;0.03513136923854029;66.75814285714286;-4.544985137966794e+31;0.00046788246856375965;0.017616903263972864;33.88744761904762;-7.789776600442772e+30;-0.0013180459135266364;-0.017514465974567423;-32.87069523809524;-3.7660074779225163e+31
76.04_20.72;0.0011665284696464428;0.026986490755761587;65.68227619047619;-2.058886138180016e+31;0.0004886153627006691;0.017796975336915592;43.17797142857144;-6.435514340430706e+30;-0.0006779131069457738;-0.009189515418845995;-22.50430476190475;-1.4153347041369456e+31
75.24_20.72;0.00161187235379674;0.032052910184472365;68.09171428571429;-1.1803588374530505e+32;0.0006744379297143814;0.021011395188699156;48.073733333333344;-3.912005722787414e+31;-0.0009374344240823586;-0.01104151499577321;-20.017980952380945;-7.891582651743091e+31
74.44_20.72;0.0013918652815525616;0.029973118333241122;31.623095238095235;-3.5070403132895786e+31;0.0006640287818773439;0.020553051159445862;30.60113333333334;-2.1525147701562297e+31;-0.0007278364996752177;-0.00942006717379526;-1.0219619047618949;-1.3545255431333489e+31
73.64_20.72;4.120111543573107e+172;2.733854039986362e+84;9.431238055345343e+87;-8.55713688980309e+206;1.0300278858932768e+172;1.366927019993181e+84;4.715619027672672e+87;-2.1392842224507723e+206;-3.0900836576798303e+172;-1.366927019993181e+84;-4.715619027672672e+87;-6.417852667352317e+206
