75.532663_17.902096;76.006222_24.893752;75.210923_11.252254;dates
-0.4497668147087097;-0.48462527990341187;-0.5077627897262573;2002-05-20
-0.45633241534233093;-0.48212987184524536;-0.5041410326957703;2002-05-21
-0.45645397901535034;-0.48219698667526245;-0.5141551494598389;2002-05-22
-0.44768598675727844;-0.47507399320602417;-0.5161775946617126;2002-05-23
-0.430202454328537;-0.45623356103897095;-0.5094119906425476;2002-05-24
-0.42804643511772156;-0.4659634232521057;-0.5181486010551453;2002-05-25
-0.43402767181396484;-0.47694310545921326;-0.5176860690116882;2002-05-26
-0.44409775733947754;-0.47752243280410767;-0.5191108584403992;2002-05-27
-0.4578358829021454;-0.4948377311229706;-0.5179061889648438;2002-05-28
-0.45888325572013855;-0.4918731451034546;-0.5167859196662903;2002-05-29
-0.4540499448776245;-0.4890122413635254;-0.5184454917907715;2002-05-30
-0.4454710781574249;-0.48080745339393616;-0.50853431224823;2002-05-31
-0.4353167712688446;-0.4715811312198639;-0.5004843473434448;2002-06-01
-0.4370590150356293;-0.4688580334186554;-0.5031756162643433;2002-06-02
-0.44060635566711426;-0.47682222723960876;-0.5090053081512451;2002-06-03
-0.4405074715614319;-0.4834723472595215;-0.506700873374939;2002-06-04
-0.44867628812789917;-0.49055296182632446;-0.500518262386322;2002-06-05
-0.4550478756427765;-0.49363845586776733;-0.501111626625061;2002-06-06
-0.4523271322250366;-0.48933517932891846;-0.5053161382675171;2002-06-07
-0.46022871136665344;-0.493606835603714;-0.5053544640541077;2002-06-08
-0.45965003967285156;-0.4917365312576294;-0.5009236335754395;2002-06-09
-0.4625004231929779;-0.4966243803501129;-0.5015044212341309;2002-06-10
-0.46236100792884827;-0.4993974268436432;-0.4977099299430847;2002-06-11
-0.4549797773361206;-0.4766037166118622;-0.4902340769767761;2002-06-12
-0.44208526611328125;-0.4797465205192566;-0.4888327121734619;2002-06-13
-0.44563964009284973;-0.48366090655326843;-0.48329710960388184;2002-06-14
-0.4582526683807373;-0.48231327533721924;-0.48204636573791504;2002-06-15
-0.4572613835334778;-0.4980775713920593;-0.47525206208229065;2002-06-16
-0.48507630825042725;-0.5358148217201233;-0.4626500606536865;2002-06-17
-0.48670244216918945;-0.51091068983078;-0.45712292194366455;2002-06-18
-0.46207040548324585;-0.48093971610069275;-0.4778987467288971;2002-06-19
-0.449044793844223;-0.48592230677604675;-0.485821008682251;2002-06-20
-0.4355566203594208;-0.47155117988586426;-0.48474982380867004;2002-06-21
-0.44066083431243896;-0.4850008189678192;-0.4890085756778717;2002-06-22
-0.44113731384277344;-0.48486533761024475;-0.48611903190612793;2002-06-23
-0.43556877970695496;-0.48079895973205566;-0.47767195105552673;2002-06-24
-0.44504284858703613;-0.4815443754196167;-0.4848693013191223;2002-06-25
-0.45280128717422485;-0.4951852262020111;-0.49187764525413513;2002-06-26
-0.46725744009017944;-0.5064349174499512;-0.5022841691970825;2002-06-27
-0.46885621547698975;-0.5060158967971802;-0.5021092891693115;2002-06-28
-0.4505893290042877;-0.498264342546463;-0.4833986163139343;2002-06-29
-0.45164766907691956;-0.4868571162223816;-0.4826139211654663;2002-06-30
-0.4547918438911438;-0.4917764961719513;-0.48471367359161377;2002-07-01
-0.46464216709136963;-0.5031940340995789;-0.49002617597579956;2002-07-02
-0.4769379794597626;-0.5118153095245361;-0.5049824714660645;2002-07-03
-0.4855290949344635;-0.5149783492088318;-0.5042123794555664;2002-07-04
-0.470221608877182;-0.5009889602661133;-0.49172884225845337;2002-07-05
-0.4579808712005615;-0.49440640211105347;-0.48575955629348755;2002-07-06
-0.4604703187942505;-0.49251505732536316;-0.4791918992996216;2002-07-07
-0.4548945724964142;-0.4728541672229767;-0.4824008643627167;2002-07-08
