POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF
75.24_11.72;0.00016740908966005066;0.011738414456872315;24.336333333333332;-1.482074588096664e+30;0.00022088166500466494;0.011862348256284539;23.92576666666667;-1.785998417927617e+30;5.347257534461428e-05;0.0001239337994122236;-0.41056666666666075;3.0392382983095315e+29
75.04_11.72;0.00017816685439146434;0.01211318542568227;23.726366666666667;-1.7775766091131826e+30;0.00018336769076995104;0.011091410640668344;21.286199999999997;-1.413564663721364e+30;5.200836378486696e-06;-0.001021774785013925;-2.44016666666667;-3.640119453918186e+29
77.44_12.72;0.00011119536108935162;0.009138443400877227;23.65303333333333;-7.802991505882912e+29;0.00015806582550166926;0.010881720458661336;22.4109;-1.3366395443790182e+30;4.6870464412317634e-05;0.0017432770577841088;-1.242133333333328;5.56340393790727e+29
77.24_12.72;9.312294526074017e-05;0.007432438105063127;20.714233333333333;-1.1927749224066859e+30;9.91828201111052e-05;0.00827118043839974;18.501033333333332;-8.025531466556437e+29;6.059874850365034e-06;0.0008387423333366126;-2.2132000000000005;-3.902217757510421e+29
77.04_12.72;8.405449910227027e-05;0.0069035102875537584;17.0726;-1.1664367911729838e+30;0.00013721183208572732;0.009645859148168373;18.62206666666667;-1.1338604262146708e+30;5.3157332983457044e-05;0.0027423488606146147;1.5494666666666674;-3.2576364958313027e+28
76.84_12.72;0.00010130139852348645;0.008214450056814166;18.424833333333336;-9.832207612703654e+29;7.169209267470496e-05;0.007069920852514305;13.765933333333331;-5.4598486084493856e+29;-2.960930584878149e-05;-0.001144529204299861;-4.6589000000000045;-4.3723590042542685e+29
76.64_12.72;0.00013641445008021676;0.00992057985296289;22.103600000000004;-1.285301019523078e+30;0.00015955360664757427;0.00976511130136895;19.0525;-1.3372314731432545e+30;2.3139156567357505e-05;-0.00015546855159393955;-3.0511000000000053;5.193045362017649e+28
76.44_12.72;0.00013641445008021676;0.00992057985296289;22.103600000000004;-1.285301019523078e+30;0.0001624028107599943;0.010258182626950737;18.80173333333333;-1.1353938788890743e+30;2.598836067977753e-05;0.0003376027739878471;-3.3018666666666725;-1.4990714063400374e+29
76.24_12.72;0.00012567419883099498;0.010185137800251967;20.723966666666662;-6.88081637670316e+29;0.00020587471779918894;0.012160870292740893;23.84896666666667;-1.2474873751708774e+30;8.020051896819396e-05;0.0019757324924889255;3.125000000000007;5.5940573750056145e+29
76.04_12.72;9.565101521317302e-05;0.008895918738653388;17.477933333333333;-9.43073463129154e+29;0.00018265555230685825;0.011973884613162568;23.537533333333332;-1.5866051150860734e+30;8.700453709368524e-05;0.0030779658745091806;6.0596;6.435316519569193e+29
75.84_12.72;8.82505584624675e-05;0.008410549271683682;18.86146666666667;-7.420438805447243e+29;0.00029715794864210594;0.015293037094211063;33.89026666666667;-2.415274274191466e+30;0.00020890739017963842;0.006882487822527381;15.0288;1.6732303936467417e+30
