POINT;MSE_ARIMA;MAE_ARIMA;MAPE_ARIMA;R^2_ARIMA;KS_ARIMA;MSE_HYB;MAE_HYB;MAPE_HYB;R^2_HYB;KS_HYB;MSE_DIF;MAE_DIF;MAPE_DIF;R^2_DIF;KS_DIF;lat;lon
76.84_10.72;0.0001596203940661217;0.010267349789472044;21.882;0.15242513721196815;3.991445086993326e-09;0.0002541691488151353;0.012729858368220558;26.458;-0.3496231649616137;1.4093480203908763e-08;9.45487547490136e-05;0.002462508578748515;4.575999999999997;0.19719802774964557;1.0102035116915436e-08;76.84;10.72
76.64_10.72;0.0001596203940661217;0.010267349789472044;21.882;0.15242513721196815;3.991445086993326e-09;0.00018403042070387594;0.010623008525056933;22.044;0.022809337807436325;4.934247714862602e-10;2.441002663775425e-05;0.0003556587355848899;0.16199999999999903;-0.12961579940453183;-3.4980203155070656e-09;76.64;10.72
76.44_10.72;0.0002504793631806638;0.012605900479182534;19.273;-0.03943723210543304;3.9484296858389466e-11;0.0003066947225466322;0.013968868087028387;21.641;-0.27271927498187054;4.1844137045289943e-17;5.621535936596844e-05;0.0013629676078458532;2.3679999999999986;0.2332820428764375;-3.948425501425242e-11;76.44;10.72
76.24_10.72;0.000389012134450984;0.015903013950822935;22.268;-0.4087694780247988;8.573273986903906e-15;0.00051055517984258;0.018424414355154954;26.25;-0.8489257545263427;1.4245209946767641e-21;0.00012154304539159597;0.0025214004043320193;3.9819999999999993;0.4401562765015439;-8.573272562382911e-15;76.24;10.72
76.04_10.72;0.0004808150028578079;0.01808019078824813;27.005;-0.7135195693009431;2.081994549343099e-17;0.0005360910319026547;0.019059029458983464;29.38;-0.910511254083298;3.2060323855090227e-18;5.527602904484681e-05;0.0009788386707353346;2.375;0.19699168478235496;-1.7613913107921965e-17;76.04;10.72
75.84_10.72;0.00019091157140534268;0.011034249569691361;19.904;0.04710051794504144;7.3401421342382005e-09;0.00016173169020011844;0.010024563265667056;18.544;0.19274644963059073;4.270534640592127e-07;-2.917988120522424e-05;-0.001009686304024305;-1.3599999999999994;0.1456459316855493;4.197133219249745e-07;75.84;10.72
75.64_10.72;0.00011610992931334567;0.008573141029509332;19.038;0.325940076431007;0.0005037269209736851;0.0002149123165024723;0.01128365386035627;25.677;-0.24764333672745664;0.0002595946068355888;9.880238718912663e-05;0.002710512830846938;6.638999999999999;-0.07829673970355033;-0.00024413231413809633;75.64;10.72
75.44_10.72;0.00012328268578798223;0.008394106389215136;23.047;0.2762271670594074;2.5867075023225667e-06;0.00023116398995833926;0.011885305582216085;31.102;-0.35712662987998867;1.4601489354001834e-08;0.00010788130417035703;0.003491199193000949;8.055;0.08089946282058125;-2.572106012968565e-06;75.44;10.72
75.24_10.72;0.00013622568025049376;0.008894142530248124;23.83;0.23311037058761097;1.7201751149371155e-07;0.00016312962256726042;0.010267592261054479;26.698;0.08165321276613113;3.737525393799818e-09;2.690394231676666e-05;0.0013734497308063552;2.868000000000002;-0.15145715782147984;-1.6827998609991174e-07;75.24;10.72
77.24_11.72;0.00014893436946980605;0.010056484433896734;33.89;0.4500103051350627;0.020861083338795883;0.00015794274016935842;0.010194430494402239;34.784;0.4167439001412745;0.0012431919478514963;9.008370699552373e-06;0.00013794606050550502;0.8939999999999984;-0.03326640499378819;-0.019617891390944386;77.24;11.72
77.04_11.72;0.00013658840404268366;0.00948101012432671;27.119;0.46161554813560113;0.0011365064920791923;0.0001717155584646501;0.010887537415859199;31.927;0.3231564021226162;6.310118193204731e-07;3.5127154421966456e-05;0.0014065272915324886;4.808;-0.13845914601298492;-0.0011358754802598718;77.04;11.72
76.84_11.72;0.00011940357076376879;0.008737394912087594;21.678;0.4013979545183397;3.5226820196482566e-06;0.0001657800620993168;0.010252950323314162;26.571;0.1689001958822538;7.608171826899874e-05;4.6376491335548e-05;0.0015155554112265684;4.893000000000001;-0.2324977586360859;7.255903624935048e-05;76.84;11.72
76.64_11.72;0.00012652218322107956;0.008912664448062131;19.176;0.3214821668567608;3.560870202868426e-08;0.00016892844035437955;0.009413448269051161;20.633;0.09406432621197602;1.4799234984731618e-06;4.240625713329999e-05;0.0005007838209890297;1.4570000000000007;-0.22741784064478476;1.4443147964444775e-06;76.64;11.72
76.44_11.72;0.00025220983111642767;0.012832522577241308;21.372;-0.19760745524183676;9.372299581324586e-15;0.0003268231228997235;0.01450688531722807;25.823;-0.5519054384103019;3.0813703654965317e-15;7.461329178329583e-05;0.0016743627399867633;4.4510000000000005;0.35429798316846517;-6.290929215828054e-15;76.44;11.72
76.24_11.72;0.00025220983111642767;0.012832522577241308;21.372;-0.19760745524183676;9.372299581324586e-15;0.0002657879880176092;0.013327459104930751;22.566;-0.2620827449691103;2.9963687782070663e-18;1.3578156901181539e-05;0.0004949365276894439;1.193999999999999;0.06447528972727357;-9.369303212546378e-15;76.24;11.72
76.04_11.72;0.00034169899336822566;0.015121412295182131;24.518;-0.46434630799504895;5.821025260309043e-16;0.000499447128704449;0.017842055028310756;29.259;-1.1403737592195582;1.7785471265612162e-14;0.00015774813533622333;0.0027206427331286243;4.741;0.6760274512245092;1.7203368739581258e-14;76.04;11.72
75.84_11.72;0.00014474827992096248;0.009329981298394588;21.036;0.26991014550254666;8.811221365027971e-09;0.00020065548762593127;0.011186741325291778;23.944;-0.01207790410306675;1.5047539260545118e-06;5.590720770496879e-05;0.00185676002689719;2.9079999999999977;-0.2578322413994799;1.4959427046894838e-06;75.84;11.72
75.64_11.72;0.00014474827992096248;0.009329981298394588;21.036;0.26991014550254666;8.811221365027971e-09;0.00025039567461809364;0.012431516741035403;26.449;-0.2629603733359518;5.764694876376222e-06;0.00010564739469713115;0.0031015354426408154;5.413;-0.00694977216659487;5.755883655011194e-06;75.64;11.72
75.44_11.72;9.701649870939405e-05;0.007448866896387974;20.378;0.40607190397916004;0.0008154895665024586;0.00013013360914332378;0.008872585087744168;22.524;0.20333131235408608;0.010256011769981366;3.311711043392973e-05;0.001423718191356194;2.146000000000001;-0.20274059162507396;0.009440522203478907;75.44;11.72
75.24_11.72;0.00010401520160475887;0.00772086029198755;19.01;0.3324949747374769;0.00044071176786064073;0.00012854163978706358;0.008908310922936938;22.984;0.17509951247910271;0.00021863111131553782;2.4526438182304706e-05;0.0011874506309493878;3.974;-0.1573954622583742;-0.0002220806565451029;75.24;11.72
75.04_11.72;0.0001115507203354579;0.00786698079065698;16.665;0.2672846693496591;2.65815662558287e-06;9.984839624789053e-05;0.007613254957471888;17.26;0.3441508001770891;0.001249456204614252;-1.1702324087567361e-05;-0.0002537258331850919;0.5950000000000024;0.07686613082742999;0.0012467980479886692;75.04;11.72
77.44_12.72;0.00027033893964412207;0.012591616262272157;-85.272;0.26040252871970304;2.2758304858070423e-05;0.0002084553470449676;0.0116747929800121;-128.78;0.42970462282544164;0.0006461964945031484;-6.188359259915447e-05;-0.0009168232822600562;43.507999999999996;0.1693020941057386;0.000623438189645078;77.44;12.72
77.24_12.72;0.00017432640054992692;0.011009242196998312;33.997;0.41687314091089367;0.07071972327012299;0.00015236863933268863;0.010107738959497771;32.51;0.49032248817467583;0.00542341555883441;-2.1957761217238298e-05;-0.0009015032375005415;-1.4870000000000019;0.07344934726378216;-0.06529630771128858;77.24;12.72
77.04_12.72;0.00015661669700909193;0.01045636325236469;79.002;0.46282710366999924;0.060305494191120856;0.00017645871291580533;0.010770577024716507;70.904;0.3947718237593495;0.0005794676897096229;1.9842015906713396e-05;0.00031421377235181687;-8.097999999999999;-0.06805527991064975;-0.059726026501411233;77.04;12.72
76.84_12.72;0.00012249757428834271;0.009021480714585755;38.298;0.5516839539407925;0.0005814154241957636;0.00018048275269722918;0.011132858729128363;40.345;0.3394700708060997;4.160830409347646e-06;5.798517840888647e-05;0.0021113780145426073;2.046999999999997;-0.2122138831346928;-0.000577254593786416;76.84;12.72
76.64_12.72;0.00012044070057310439;0.008931461936621444;24.762;0.4856443772613892;1.4075921158139196e-05;0.0002594687206385024;0.012044887392284381;29.606;-0.10809049391240677;1.5791407364578724e-05;0.000139028020065398;0.0031134254556629375;4.844000000000001;-0.37755388334898243;1.715486206439528e-06;76.64;12.72
76.44_12.72;0.00012044070057310439;0.008931461936621444;24.762;0.4856443772613892;1.4075921158139196e-05;0.00035162812879257533;0.015268574135411956;37.233;-0.5016676613213409;2.651237257042931e-07;0.00023118742821947094;0.0063371121987905125;12.470999999999997;0.01602328405995168;-1.3810797432434902e-05;76.44;12.72
76.24_12.72;0.0002041178745191215;0.011562132979896974;24.921;-0.0378961223747698;1.0274705484629681e-14;0.00036122943972466935;0.015356107474778377;36.904;-0.8367751264366758;2.1115244863744526e-05;0.00015711156520554784;0.0037939744948814035;11.983000000000004;0.798879004061906;2.111524485346982e-05;76.24;12.72
76.04_12.72;0.00021701570130250815;0.011932699022565912;25.992;-0.06237793176197104;3.2940225477293126e-15;0.0002802958492910884;0.013246410448294997;31.238;-0.3721593546645836;7.312260711819436e-05;6.328014798858027e-05;0.0013137114257290843;5.245999999999999;0.30978142290261257;7.312260711490034e-05;76.04;12.72
75.84_12.72;0.00011471446764965542;0.008021940453655048;28.226;0.4368119561553845;2.1150796323944644e-08;0.00021277354861689793;0.011788114019030883;33.187;-0.04460684935923065;0.003237565875707893;9.80590809672425e-05;0.003766173565375836;4.9609999999999985;-0.39220510679615384;0.003237544724911569;75.84;12.72
75.64_12.72;0.00011471446764965542;0.008021940453655048;28.226;0.4368119561553845;2.1150796323944644e-08;0.00016579727353363956;0.010199701848510998;28.721;0.1860220940801134;0.02849466380152821;5.1082805883984135e-05;0.0021777613948559503;0.495000000000001;-0.2507898620752711;0.028494642650731886;75.64;12.72
75.44_12.72;0.00011471446764965542;0.008021940453655048;28.226;0.4368119561553845;2.1150796323944644e-08;0.0001684407133910951;0.009971988433834308;30.411;0.173044186821824;0.0035144318440373246;5.372624574143967e-05;0.0019500479801792606;2.1850000000000023;-0.2637677693335605;0.0035144106932410006;75.44;12.72
75.24_12.72;9.526683067903556e-05;0.0074526122890890625;25.541;0.4502212112184042;2.187517124592336e-05;0.00014475693761599597;0.009373525952254285;30.607;0.16461696832989503;0.004042925612041337;4.9490106936960415e-05;0.0019209136631652222;5.065999999999999;-0.28560424288850916;0.004021050440795414;75.24;12.72
